game,result,time,kills,deaths,assists,kda,cs_per_min,kp_pct,score,tags
1,L,28:27,3,8,6,1.1,4.3,36,8,9th
2,W,24:05,6,0,8,14.0,6.7,35,72,4th
3,L,32:19,2,9,3,0.6,5.3,36,11,9th
4,W,42:06,5,10,12,1.7,5.7,34,51,7th
5,L,7:39,0,1,0,0.0,6.8,0,,
6,L,39:42,0,10,6,0.6,6.1,29,22,10th
7,W,30:47,3,4,6,2.3,6.6,25,51,5th
8,L,26:42,10,5,3,2.6,6.0,59,47,7th
9,W,30:58,4,5,9,2.6,5.8,36,47,6th
10,W,32:27,5,3,16,7.0,6.3,40,59,2nd
11,L,28:47,3,7,5,1.1,5.9,44,21,10th
12,L,34:07,5,5,12,3.4,6.7,49,47,7th
13,W,18:54,3,0,8,11.0,7.2,55,84,2nd
14,L,32:52,2,12,11,1.1,5.7,38,18,10th
15,L,34:51,3,4,14,4.3,5.2,45,47,8th
16,W,27:41,3,3,5,2.7,6.6,31,61,4th
17,L,32:22,5,5,2,1.4,6.4,58,24,9th
18,L,32:36,4,4,3,1.8,6.5,30,31,8th
19,L,28:10,5,6,6,1.8,5.2,61,28,7th
20,L,18:46,3,4,3,1.5,4.9,33,31,7th
21,W,16:28,3,1,2,5.0,5.7,16,47,4th
22,L,35:05,6,12,10,1.3,5.4,41,23,10th
23,W,31:36,6,6,12,3.0,6.7,49,63,5th
24,L,22:11,1,4,2,0.8,6.2,50,17,7th
25,W,28:14,5,5,13,3.6,6.3,60,53,5th
26,L,21:38,0,4,1,0.3,6.6,17,12,9th
27,L,29:37,6,4,9,3.8,5.7,44,37,6th
28,L,41:01,6,14,13,1.4,5.3,44,31,8th
29,L,25:35,4,6,7,1.8,6.3,50,35,8th
30,L,36:32,4,8,4,1.0,6.0,42,30,9th
31,W,42:06,10,8,16,3.3,5.9,53,74,4th
32,L,34:02,15,8,12,3.4,5.3,51,70,3rd
33,L,48:48,7,6,6,2.2,7.5,33,57,7th
34,L,40:20,8,14,6,1.0,5.4,50,26,10th
35,L,36:15,6,8,8,1.8,6.4,29,34,8th
36,L,28:47,4,5,3,1.4,6.8,33,31,8th
37,L,35:00,17,5,9,5.2,6.9,59,92,ACE
38,L,30:50,7,6,8,2.5,6.2,47,63,ACE
39,W,33:09,3,7,11,2.0,5.9,44,61,5th
40,L,31:37,9,7,2,1.6,6.2,32,46,7th
41,W,32:48,10,2,8,9.0,8.0,53,90,MVP
42,W,28:46,9,3,5,4.7,6.8,26,71,4th
43,W,32:32,8,6,12,3.3,5.8,45,71,4th
44,L,37:46,8,4,12,5.0,7.3,53,58,5th
45,W,32:55,13,3,9,7.3,6.9,45,94,2nd
46,W,49:03,9,14,11,1.4,6.1,36,46,8th
47,W,33:25,14,5,15,5.8,6.6,57,100,MVP
48,W,43:12,20,7,14,4.9,6.2,58,100,MVP
49,L,27:20,4,8,1,0.6,5.6,71,16,8th
